GROSS_LOAD,BURNER_POSITION,X_CORD,Y_CORD,Z_CORD,VELOCITY_SIN_BETA,LOC_IDENTIFIER
170,2356,0.57679999,2.8839998,70.9,1.3930124,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,3.1724,70.9,1.6969981,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,3.4607999,70.9,2.1071982,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,3.7491999,70.9,1.9227266,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,4.0376,70.9,2.3914106,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,4.3259997,70.9,3.20925,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,4.6143999,70.9,3.5676954,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,4.9028001,70.9,2.5399833,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,5.1911998,70.9,1.3014568,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,5.4796,70.9,1.9511627,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,5.7679996,70.9,1.7103875,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,6.0563998,70.9,2.3032711,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,6.3448,70.9,2.8980412,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,6.6331997,70.9,2.3845685,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,6.9215999,70.9,2.6040721,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,7.21,70.9,2.4480104,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,7.4983997,70.9,2.0179758,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,7.7867999,70.9,1.757319,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,8.0752001,70.9,1.9873112,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,8.3635998,70.9,2.2675641,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,8.6519995,70.9,2.5378902,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,8.9404001,70.9,2.527837,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,9.2287998,70.9,1.440084,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,9.5171995,70.9,1.3080566,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,9.8056002,70.9,1.5895048,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,10.094,70.9,1.7986076,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,10.3824,70.9,2.0219207,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,10.6708,70.9,2.2949181,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,10.9592,70.9,2.0727267,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,11.2476,70.9,1.3685628,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,11.535999,70.9,1.1331536,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,11.8244,70.9,1.7485179,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,12.1128,70.9,1.4866699,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,12.401199,70.9,1.5392683,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,12.6896,70.9,1.4768674,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,12.978,70.9,1.4398642,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,13.266399,70.9,1.653103,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,13.5548,70.9,2.4485276,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,13.8432,70.9,9.4890146,B1_RH1_H0_C1_T1_LOC1
170,2356,0.57679999,14.4,70.9,12.198255,B1_RH1_H0_C1_T1_LOC1
170,2356,0.86519998,0,70.9,0.86519998,B1_RH1_H0_C1_T1_LOC1
170,2356,0.86519998,0.288399995,70.9,5.8044615,B1_RH1_H0_C1_T1_LOC1
